a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q
31959.6436168,-7328.67767399,-894.031679961,3474.79047721,8787.29077926,1334.93518835,-750.031159494,-4007.10758753,-4384.32422967,-4391.86883821,123.870381736,-5936.02884568,bad_joke_eel,4613.23495668,246.335951948,-6530.50802405,-398.492840027,-2225.79774032
6527.05558045,21371.7675805,2629.98478957,234.99831724,-6524.21348728,2929.00994457,3908.07265195,-5179.70592631,-11329.6676784,2767.75087612,2149.14812077,148.666978217,high_expectations_asian_father,-4341.7888984,7210.67953138,-2870.69836885,-53.2457160862,-3607.71754069
-14767.5619213,-1662.8458828,-5287.39539584,-4382.45797405,10895.3001484,4524.87467895,5041.24452044,6785.4889658,-2330.0435821,8769.51097191,1614.24721542,-5457.95339765,college_liberal,4881.70650294,115.241439822,2611.65164338,1439.6325064,-1971.34272636
-11262.924613,1582.69216877,-3390.32489142,-9305.7108439,9374.49954667,-9307.4771543,-7526.77666667,-7932.167839,4195.69262858,-4112.9407557,10297.5369401,-5361.44701456,sheltered_college_freshman,-3585.87955896,-952.241763052,3629.85841225,-1911.42235097,1057.2255722
-7313.06781182,509.479423874,74.722871277,-3067.96090937,-2979.48929011,-3986.79557203,-7346.09948502,-4404.55661554,-3930.31430362,-7654.34854561,3865.2225977,-520.892697147,sheltered_college_freshman,-586.566514185,-3951.56703668,1369.11186841,-3998.07033145,1412.39238371
24819.6284594,-5789.94003962,-4757.97783153,6177.66569198,14367.7049212,8869.4083263,-5700.46950416,7056.29751248,-7082.51538709,-7224.51742418,3184.70955122,8250.68486002,unpopular_opinion_puffin,-9910.70215477,626.704167713,4226.5072642,7334.971642,-1859.48461996
32121.6762831,-3827.42109459,-1118.32667969,2319.3810214,7735.9287332,113.153778852,3461.06575483,-5112.55038538,-1650.87524902,-3785.38500059,-884.978540886,-2526.33107325,bad_joke_eel,7854.2904716,-56.800122044,-5945.65452997,-2460.04071505,-2896.69497947
-2481.66467622,11631.7343824,-220.019242288,-935.166665258,-4015.19169193,6240.02076116,2434.03127158,646.91999329,-6492.94596297,2614.77794748,2745.11563638,-1109.93650988,philosoraptor,-2924.61000246,-5352.23403003,415.476771393,-300.459560527,5280.47161327
-19032.3217618,-13851.6424908,1958.25431543,-2890.56181077,1805.0252817,884.341169313,-2372.1860158,652.232112483,-2870.09507632,-4221.77889968,-3919.67589499,-3950.64254923,first_day_on_the_internet_kid,239.945686143,6719.32470747,1384.36908487,-5049.22725562,3596.32451869
-2765.45612638,13207.3131538,-6209.51909392,-2642.34981077,-3560.77679547,1809.56765724,-4824.62181024,-2608.14767138,4494.90533018,3081.47576483,-4534.68902538,2419.35266984,good_guy_greg,1051.21344265,787.877387335,6797.84558045,1758.43109897,-3190.1492226
-2880.92070595,14343.2738,3474.16880973,-8192.22400276,12103.88385,-9010.1253105,4282.92690389,-212.764041915,6335.54069207,909.346896841,-5025.46175109,8695.34868015,bad_luck_brian,-1458.2504125,6125.85827865,-4834.46719041,2175.85401872,-839.453274095
-19165.7785368,-11742.5413045,-8588.75914248,17447.5001295,1820.61467964,-2546.80729024,9310.30510511,-9176.07756564,1783.62057921,869.315621606,-1256.4227157,2796.97960514,advice_god,-2119.43866712,-1272.02578632,993.742890024,-525.643910733,-1182.2348669
-11116.2393445,1809.15319676,-2660.43061533,-8777.42441698,8902.52887592,-9334.46355222,-8113.49124529,-8148.89632218,4566.80628914,-4018.36352752,8681.41999663,-5063.9418736,sheltered_college_freshman,-4070.384973,-313.046206631,3137.9433077,-1572.29164871,987.602144226
-7423.45495253,-96.0406879095,-280.305080874,-4139.53661355,-2885.81632021,-2644.57129132,-8121.67403941,-4167.04603783,-4885.71912034,-8851.08773529,5157.73587755,-250.847057224,sheltered_college_freshman,-694.83116573,-4947.76700314,2356.07742394,-5069.26744689,2311.65841123
-18731.4946827,-12352.8611393,-599.601742242,2159.77203787,-2493.91406027,4441.57365233,-4067.16308875,2961.10239455,-2396.25241619,-5811.54540914,-1600.58369925,-2714.79869529,minor_mistake_marvin,-795.866481946,-845.532319077,-3809.62722929,4749.92617562,-4733.43399401
141.849969289,15760.7678924,3969.7779701,-2653.20437972,-2398.23509063,819.866639697,3337.264114,-3709.88631958,-9669.10385223,5772.96394563,-520.363959378,858.199764388,high_expectations_asian_father,-7418.42707486,3874.42481356,-6499.63275747,3907.13095957,-1644.62292111
-15070.8602831,-1707.07057674,-5091.32381129,-4170.01386388,10593.8190027,4841.10755983,4128.75376042,6747.733365,-2727.75862585,8917.17899339,821.890989073,-5187.8351088,college_liberal,4564.6727942,-567.520915596,3081.61016385,1075.44136415,-969.831626794
24311.2893106,-5730.74194666,-4279.80277497,4916.41438689,12192.8251344,9935.13502974,-6017.11868833,7444.38802785,-4453.14312907,-5866.06768494,1943.09764179,10829.4972545,unpopular_opinion_puffin,-10036.025019,1223.10332646,6557.36177314,5699.16979793,807.110540052
-19276.9345037,-14813.4513057,2576.02459359,-4544.17222536,-149.565337088,1590.0532501,-1321.62838462,843.431564947,-2441.85910346,-4254.61384314,-4343.90375884,-3490.74173208,first_day_on_the_internet_kid,1836.99685991,3942.44727489,2336.16668258,-5309.1997519,6703.99402315
-15109.2981058,-1946.04326368,-5066.99993883,-4054.02179746,10716.711003,4592.3850195,4729.54490886,6634.24556211,-2440.39342041,8381.12313393,1316.59421941,-4515.12589527,college_liberal,4525.74256078,-120.481375941,2937.87940615,768.615212442,-1122.73028305
-1751.45339768,12594.2279288,-159.633064418,-1581.43852164,-3984.35294559,4923.7533393,3766.95009676,-373.125652969,-6398.41804815,2397.09029714,2517.89562205,-370.960434373,philosoraptor,-1511.35639477,-5468.34880935,688.388750118,-1435.81400748,6964.09796707
-3386.6651773,14718.7830657,3127.4505709,-7825.10230611,10843.5978918,-7816.52632458,669.992305697,-1069.19484846,5440.67789663,-142.292805274,-4123.70912422,6411.2446643,bad_luck_brian,-675.4308407,375.534663426,-3530.90991076,2778.20705772,4866.72393838
9087.45253607,5815.25747236,-8489.50370899,-3209.16037929,-3657.79367694,5072.23991699,962.514793612,7340.3477673,2483.21674939,3557.34317538,-1722.82554639,-2448.67861513,business_cat,1245.03883829,-1472.97324622,-350.844521936,-290.415918744,1788.52422674
15619.376836,1639.24957725,-14211.9626812,7313.16943535,-3772.12792945,-16277.0721713,3617.25590014,16239.3079749,-1097.8645316,-2221.66639468,1059.94536494,-4242.60345467,paranoid_parrot,-1450.41049132,577.190142078,-2879.9644821,-2475.78661097,2152.27956513
-19674.6696589,-12424.1067108,-7002.98822657,16957.4212745,578.861080898,-1517.00921224,8394.09906829,-8341.16251787,1281.55790278,344.832035948,-891.008353726,4369.21584038,advice_god,-2409.24296113,-2203.66287856,1137.54367827,534.783502218,-1355.78800606
-14994.1347872,-1294.73934597,-5322.65993629,-3655.36792921,10767.5712188,4697.33812972,4825.42659298,6540.35301049,-1615.78377899,9698.73838121,1419.43659946,-5335.72022769,college_liberal,3895.2581151,1057.69351273,2962.31965806,1134.68230841,-2859.71850561
-7968.26649402,7211.43848789,-1083.2546487,-2887.41847026,2777.4203981,2339.71980454,3409.9431868,848.453260752,-1601.70647827,1668.12550251,841.753445032,691.648153605,philosoraptor,-2824.59571066,-4793.0140909,-1708.14328419,2435.33588751,6034.72106415
1004.78337186,-13144.1106364,1454.04467381,-3151.25503802,-5580.14936009,-678.146096718,-5860.30971448,1052.90224409,1490.48500683,4263.856516,3507.03742944,4449.54443899,evil_toddler,-1018.916999,-5677.72146731,-3187.22348448,-1235.91317223,-2204.29528453
-511.549437669,11711.677196,-344.238393825,-1173.24781259,-3213.66812573,4480.71123011,2895.21492303,442.355061637,-5631.21789376,4453.06235727,1752.8798311,-349.313683419,philosoraptor,-1450.03950612,-2834.99641337,-1065.6831418,-2379.25999422,4292.40094446
1102.59246522,-12877.0980607,1139.63154451,-2653.09401269,-5749.6946343,-629.977277437,-7975.55499666,962.201906044,2687.9419362,5804.46989997,2757.28425743,2911.683977,evil_toddler,-2773.58361107,-4320.84472686,-3664.82236046,-389.134379746,-4756.89180805
-19416.967757,-11686.7397459,-8716.78870874,18097.2928833,2796.12939583,-3838.84325847,8925.79107787,-9487.40457229,914.703407835,1581.68491776,-712.928679542,2520.5718482,advice_god,-2216.30965896,-2017.84724254,-482.573080862,-660.455907632,-1836.42341469
-1650.1104363,12079.2860658,-5062.11108381,-2709.64216818,-5906.87650679,984.037854103,-4189.24333902,-2905.71168829,1849.71362017,2213.20159507,-3300.75687913,4302.79654358,good_guy_greg,1471.83432412,1202.75646014,6816.45521744,-130.901318532,-3361.61515299
-2436.83878838,11068.2137127,249.947861382,-1200.71769217,-3882.01737822,6230.00813926,4148.06512362,1035.07867451,-6333.23079124,1551.13723646,4204.76812789,303.721959955,philosoraptor,-2717.78989179,-4140.90451613,544.633093992,-774.338282887,3529.27363394
-19180.9457112,-11032.7214894,-8346.63504881,16839.8543936,2416.00054434,-3506.19916544,8112.14341415,-10845.3038864,1672.41240722,1463.4705935,-2515.0750303,2426.34570238,advice_god,-4229.93605251,-1782.57977157,1489.15845782,-1354.11346538,-476.339636876
-14818.160509,-1297.67662103,-4698.79753732,-3323.24302597,10504.4667228,4260.73109046,3787.82243397,6823.94041577,-1601.45801948,9122.65239254,513.83155309,-4806.26091448,college_liberal,3601.51634434,1729.8970499,2765.79130599,1649.40130511,-2429.64215383
19002.237107,-18427.1912849,9631.17891035,-12938.054268,-6466.87297142,-1561.88919968,17518.8163337,-2827.63863469,5705.83563333,-4817.41421125,5335.19141163,-1047.79726845,sudden_clarity_clarence,266.599745516,1382.86866007,5551.45332918,2674.84453781,-3090.70257232
17232.2151378,3517.46798678,-7005.10567098,1490.1411127,-3051.90562698,-741.033704346,-6702.30664746,3679.19010864,-43.1684919636,564.068792081,-4667.0437192,223.975135515,good_guy_greg,1329.54325269,2057.69549514,1231.96324497,-4307.04446415,-6158.02362893
18440.4207479,-18796.2461608,10131.796643,-12267.1826257,-5248.96470056,-479.877524185,16236.8179294,-2067.74025571,4458.35569964,-5289.68297244,4787.05145109,-694.810062735,sudden_clarity_clarence,-707.524455192,794.122036624,5768.03275016,3528.38552371,-1628.1534736
2258.46296828,-13387.7028456,1296.20238417,-1863.10186098,-5071.82354338,-1679.64765988,-8406.27499295,1211.46703191,1495.33298665,6404.91449492,3527.40934318,2870.34709384,evil_toddler,-1641.36826834,-4170.31444051,-5988.76769819,-2138.6112607,-5664.24755169
-4565.67956943,9591.40603212,1643.45065881,-4031.51100704,-2922.34008387,1129.0412679,167.240865593,-485.719677302,-3365.19880601,-5310.59599694,-6406.92241226,-3632.96544611,confession_bear,-144.020608041,-12112.9405216,614.273536449,6308.83145209,-246.443395334
20384.3794221,-18332.6022972,9969.53984387,-13198.3161553,-5658.14714238,-508.407510663,16966.1993826,-2315.91208265,3537.1743725,-4973.20871281,2861.6289486,-825.185742884,sudden_clarity_clarence,1582.0445063,-983.890457736,5778.76679554,2436.10665567,123.205115014
-2692.03025349,10849.2863594,-8167.0449421,-60.1063048911,-5217.76587548,17091.3414999,1484.87709088,954.832973541,16378.5223968,-4676.99077543,3834.55962404,-571.280922243,business_cat,521.165219386,2416.29045544,-5099.109705,-1166.85672709,1375.23069266
-50.632912187,12266.9219001,7065.83522506,-1299.35718636,2331.18741444,4712.75701604,3754.72305993,27.8756662071,1986.59584264,-289.399328945,-760.226276251,-3131.68001599,religion_pigeon,-13573.9239338,-4653.87543997,-1328.54607222,-11605.6228483,-4761.24354924
-18367.622875,-11211.1258172,-1025.01356088,1768.71983794,-2581.05991624,3595.94329956,-3636.65890971,1983.08945165,-1558.42348394,-4625.66292687,-2401.88955696,-3568.90654445,minor_mistake_marvin,-333.096521445,-1014.77959078,-2380.65042829,5447.00562303,-4427.94411664
-17527.616009,-12094.6366011,2471.15722324,-4287.13298607,-182.912918922,891.54599713,-1512.51728139,1506.30093829,-5877.83217246,-6372.64620923,-6966.44602323,934.526883725,first_day_on_the_internet_kid,-69.5960225295,6991.07165967,-2287.85984191,-5495.8917506,847.738176105
950.310626534,4428.90837356,30424.3423629,13612.3077874,2926.17849251,48.2500950372,-2908.27105703,1259.33616387,5005.99296077,3864.01700871,-604.968718629,-2537.06323589,socially_awkward_penguin,1885.97139909,1631.52077887,3457.35471256,-2124.12904695,3020.16999642
30476.3351246,-3877.72256649,-5279.12165974,6212.01224679,9680.68874308,5981.6646114,-5907.2082475,4163.34864031,-2895.78940703,-778.318277401,1178.25147668,7038.59888004,unpopular_opinion_puffin,-5160.56042576,-1877.55205669,4491.49561659,1288.49927637,3769.6167179
-4982.06631641,4177.14985921,-4844.81291301,-2005.46999422,-2603.19623855,-8401.7300951,4546.9613054,3233.45954543,-967.90419338,349.097597409,272.329123199,4312.6910076,paranoid_parrot,-309.215010584,-4231.87772591,-4766.96833344,3106.14546464,2818.14486234
-18428.8694628,-13052.7596486,2944.22011072,-4252.51599421,-1588.6807006,1857.62028802,-4004.21350801,918.766287069,-5151.9679995,-5615.47474336,-7416.82811404,164.555496719,first_day_on_the_internet_kid,-1995.83699992,6821.27495614,-2083.37256291,-4359.9855275,1845.07906741
522.06438278,11732.4179398,-5993.53933698,-2830.82354132,-4079.06195766,2122.7125727,-1106.21671711,185.374962966,-1275.17345858,-1613.04085048,-2209.70398176,8813.03113742,good_guy_greg,6076.44540008,-138.516070626,5661.92924257,-7733.80286408,-7928.96556478
11146.7281905,-13913.9577304,4564.38634558,-3848.68432354,-6627.19397517,-10.8838458561,-7794.46762061,-3050.57954425,956.899891869,15783.4073447,-4387.64653706,294.645162642,lazy_college_senior,380.054736857,-5843.52076152,-2499.02179583,-1407.72365082,6830.04209023
-20048.5558199,-14642.9289148,2390.47812003,-2651.77750327,259.963904346,3484.87127199,-4192.47572373,1309.69318326,-1671.26801473,-3228.76386575,-3407.72059158,-3564.52990157,first_day_on_the_internet_kid,-1720.91254215,7175.06333236,3119.32959955,-3013.94514503,2728.73590396
-3106.77056925,10325.988952,-8006.67550209,705.646145434,-4574.01505424,16703.101525,1664.82996558,1351.76092373,14250.931154,-5096.16436017,4698.39134109,-136.446492425,business_cat,345.600028609,1836.69104699,-4466.92415535,-877.399387501,1459.03908665
-3589.18400382,13601.5317852,4475.61368356,-8936.22126333,9997.90959424,-7182.16723405,4402.70482959,703.867346712,4171.9639924,1956.13553628,-4585.18771695,10353.4060999,bad_luck_brian,-800.641555404,1300.42386499,-5546.60540201,373.172086934,-258.47735763
33761.0575222,-5255.89560848,-1151.0718492,1740.68695566,7447.3179011,-842.35981636,1540.4404401,-5403.77759716,-869.242293757,-658.654917175,-1472.1629394,-4659.86403921,bad_joke_eel,7974.76688195,-2653.15727139,-5354.77249559,-3583.52237762,2686.4136431
29085.9024837,-6606.73655036,-4285.20941958,3571.75105128,10982.1541876,9180.02563886,-4548.96033738,5646.02367861,-5005.65289782,-4113.94472941,-70.8133916288,8061.8081946,unpopular_opinion_puffin,-6760.04333188,-1906.93849745,6572.08641152,3445.67213777,3617.11814679
-18963.0874399,-14101.82803,3499.36722104,-5716.32204301,-2725.65661411,2436.73135072,-3230.23339726,1430.41077666,-5887.58291265,-7212.57069566,-8670.23864295,526.930821477,first_day_on_the_internet_kid,-2199.74882206,6459.87653473,-1080.80125981,-5430.50007007,3149.23038962
-3632.48636971,6461.16699789,28844.7685014,13010.7637099,3164.73448011,-261.636163561,-24.2411179187,5322.36465159,860.422134999,-186.535406366,3165.42455159,343.183051033,socially_awkward_penguin,2015.69058303,-1531.20575789,33.2012758291,-4730.07184272,-1728.3915676
-10186.1440334,2183.11712522,-2759.82789528,-8819.57757651,8089.94387372,-8695.51919395,-7271.30152569,-6874.58971587,2195.06924969,-4634.59251203,7923.17087462,-4677.83873552,sheltered_college_freshman,-1749.67155295,-1459.52611195,2519.13785599,-991.223317525,1179.5459496
1285.09718328,13224.5110436,-10174.6445472,5144.31218279,-8470.44073394,-11847.4989451,3910.43246375,3950.01321124,-202.225216706,-2436.56071779,1241.5088315,-2326.32884687,paranoid_parrot,450.383062035,-541.093744139,256.667943181,1300.11228101,1936.36433351
-18267.2216834,-12534.7699408,2346.76319641,-4514.01669175,-1278.66946815,2649.36021526,-3608.49542454,1304.99131522,-5327.30906481,-6425.3592134,-8165.73342119,303.214536745,first_day_on_the_internet_kid,-1094.84070882,6294.62155235,-837.00940553,-5150.29687781,2239.14646276
29662.456471,-3155.29629154,-3922.28360449,4685.65708254,10037.4863131,6259.23288632,-4075.97143937,3570.43295531,-4476.21331994,486.466744328,916.564475279,8951.41211325,unpopular_opinion_puffin,-4726.86726921,-632.775851984,2557.94462124,2744.88748338,3417.09207119
4313.73513454,-213.492411015,4514.23664174,-1081.16679911,-10201.1080573,-760.519267793,-1636.29068366,-4087.78803885,747.204671395,5838.51583822,-360.888196063,3620.08057866,lazy_college_senior,5828.93415361,-2712.95276533,654.993697236,-5709.14323124,1299.35673625
-17458.2058731,-10249.5665116,-516.662178112,2022.65194184,-2655.98629984,1768.39872231,-3232.02693051,691.936729418,-1308.37330775,-3903.99440742,-1700.24717317,-3072.6169899,minor_mistake_marvin,41.5557785852,-913.753353379,-3771.09731299,4968.51993391,-3890.00938632
15962.0488996,1563.82947991,-14754.603017,8442.01318951,-5442.98660409,-16447.0965882,3849.97285034,16559.6112076,-607.993706182,-1171.1429942,904.355335504,-5098.64531381,paranoid_parrot,-2662.38595607,1167.08483556,-1376.00204234,-3475.33022915,-384.066553367
-3863.09366328,12078.6359568,-527.342610459,-2986.92355454,-2396.77502835,957.547833207,-894.6166047,-1406.56766763,-256.322392702,-5385.39481055,-8515.95059743,-6061.62988153,confession_bear,-564.5691115,-6760.7366617,1927.57098895,7516.91127214,-1554.20323797
-8466.53987786,-398.565240248,21435.1149807,12079.3588943,374.10570872,-2075.2743583,-4761.00229535,77.6289638923,2366.01687947,-2420.1018106,4132.48555265,-549.767321772,socially_awkward_penguin,3684.39417449,3137.67550129,2114.7738008,-431.898225853,-1889.47741894
-3694.19488078,13532.3798555,2820.71598257,-7795.51369563,11792.3569254,-6754.01057187,2507.74393982,422.038820777,3336.98825681,-3747.0156133,-4324.92033342,6036.23384528,bad_luck_brian,-373.341999804,-932.721396673,-3499.74830239,1584.59221989,3845.23247559
-3393.69118469,12289.4916375,-348.138459705,-1833.40638079,-3203.25311782,-254.93368503,-2992.2689372,-3898.02630311,2389.10774499,-4850.79358512,-8962.95556726,-6315.55409469,confession_bear,-1318.5592099,-3540.06215355,2364.93899472,8252.70892121,-2356.06313519
1234.56288515,-13263.2384495,1255.20764999,-1823.64910322,-6165.19371323,-442.437964493,-9286.42060643,1273.9713267,2081.45131408,6727.74105517,3915.65556989,3251.9304738,evil_toddler,-3987.32722956,-5078.56482642,-4872.18815795,-313.24522199,-6306.16089916
-14772.5001783,-1648.64392727,-5154.74028299,-4549.30083218,10910.1602217,4576.29272524,4913.34911967,7033.49777134,-1682.16916329,9707.13093065,1089.76606179,-4739.30386617,college_liberal,4669.27264656,1108.64656996,2671.69416378,963.531348658,-3098.93997094
19783.2016816,-11608.0140514,2295.49923092,195.372175714,-2956.88073118,1146.9004091,-4321.00488214,-2480.22115279,5033.38710325,11183.4040995,1399.4491814,181.888511727,unpopular_opinion_puffin,-3954.35658657,3446.19599694,-1066.12002419,158.536089202,-2949.64898003
24892.2447737,-13648.1939473,2048.63463914,12.2100756392,-5538.5344408,-567.616526703,-4240.01223033,-4974.91678805,8619.80002192,8248.19778841,-7104.88922276,-4257.92128434,sudden_clarity_clarence,-8683.03465211,15153.2601522,5664.69815724,8828.73026758,-645.506319613
25739.8231329,-2441.72220865,-4038.34797506,4569.73192099,10500.015763,9771.04880607,-2722.04296884,4165.19450355,-7173.85815077,-5818.08439493,-322.274305032,9505.11274977,unpopular_opinion_puffin,-6230.12768586,-2248.31543499,6329.49982934,6127.49659291,3236.71652514
-5733.05515916,9028.53374344,237.225347699,-5604.44053569,-987.317086283,-1159.44171475,213.656867264,-2221.5575719,2659.38099069,-623.027581357,-8875.27357695,-2276.48941485,confession_bear,-1174.85152024,-2895.62379491,-287.341247548,5483.81728484,-1779.11382124
16484.1282544,-20933.9639179,9284.52713104,-12494.7058804,-4250.94009293,1773.2928564,12957.8056287,2481.60393172,894.13632119,-4242.7328649,2060.1710116,1465.38620948,sudden_clarity_clarence,-2018.38315693,-1942.12744197,1595.29090255,1742.34463161,-1065.16338148
-17347.7183798,-9393.14192264,-1156.6996617,-362.039580668,1009.43782135,1891.78436958,-2871.99594083,3058.30028922,-1895.91821418,-352.49497263,1423.31423487,-853.789584144,minor_mistake_marvin,-1849.01564693,103.954412078,-5414.25836523,2357.2302382,-1523.33591357
-18699.1824239,-10559.1978395,-8114.14538749,16595.479229,1470.87050043,-2897.35800395,7041.85918333,-8895.04672282,2145.7946568,1231.89301616,-1699.46395313,1981.56176755,advice_god,-575.07063221,-2107.14534677,879.446222261,104.434831486,1617.415477
346.068810885,13164.1399761,-6088.53172607,-805.048566603,-7006.47679015,2273.60797884,-3380.7946062,-1737.6671029,-566.761522506,-476.705400309,-1981.75404547,5102.7578585,good_guy_greg,4602.0909149,-2328.45936571,8655.70458326,-4652.66610805,-4002.6280123
27345.3044811,-2061.84924716,-5509.14585128,6501.74052685,9414.21377592,7573.41946205,-8863.12930295,2927.09985624,-1382.62869023,-1735.36933544,-880.388982173,7067.181123,unpopular_opinion_puffin,-9580.76451532,1826.74330474,6591.51502224,7830.2936708,1911.649241
-6434.47775564,5120.9022524,25425.6227331,12847.3031439,840.045613162,-1732.80333761,-2715.28563545,4895.1850517,2044.50992063,-1163.05355945,3282.0199544,-1181.45581277,socially_awkward_penguin,1634.57294293,-1259.67700672,2226.68308302,299.902197384,988.558204823
34781.4885747,-5000.35008591,-4832.17112773,8498.71115998,8011.71924403,8736.55459225,-4994.74516711,4844.35693407,-6145.4956643,-3065.02161188,2154.2283968,9672.70468781,unpopular_opinion_puffin,-6801.42671824,3026.25564629,6807.27203375,2096.12715162,-900.135033098
15242.3636158,1880.50174266,-13860.2404702,6335.6094978,-7372.38648917,-16419.1483756,2288.64520939,14523.6270102,1121.65481414,-1415.3254738,-93.6143980169,-5636.40739338,paranoid_parrot,-1738.49991871,-1580.76573409,112.948657632,-1581.54807438,4116.35830427
493.521090456,-13993.9782394,1484.02965334,-2684.25671704,-4683.76908986,-399.076251884,-7547.35664215,2007.2445597,1132.35922763,4609.48598621,4381.35986431,3974.64038498,evil_toddler,-2541.42314817,-4553.69634187,-4600.18403738,-831.807789993,-5556.15588483
20103.8386512,-10564.4905046,1826.65026567,-764.926699706,-2291.39390683,1088.2418502,-3929.41204293,-2957.8088677,5953.20703464,11258.427932,875.005475819,123.320388892,unpopular_opinion_puffin,-3927.10888346,3170.65486216,-174.575735918,907.187885397,-1511.12242541
-4882.686367,3824.66717393,-1390.89476001,-4222.16766207,-2552.19012551,-2847.42052826,-7964.3800189,-5097.67681965,-5152.23333128,-6040.65564402,3975.0843994,815.044734574,sheltered_college_freshman,-726.727926289,-3021.71900632,848.348946076,-4608.95484332,-653.597867288
-2800.12010051,11243.195617,-8468.7757411,441.902304531,-4924.60824822,15836.2320036,-541.671078298,-495.72646392,16578.1524485,-2630.03980229,1115.880982,-2931.33126839,business_cat,-464.316144265,3265.22126189,-4584.36815748,-298.399839231,2659.89226172
-4642.31280615,8619.06100553,27364.6807265,14131.7122994,2146.31490908,-1291.61400073,-1651.05690797,4861.86841635,2484.39075547,-1710.61162135,1852.30920041,-2409.55794972,socially_awkward_penguin,1302.08344672,-918.961971061,2637.20974255,-1008.31429993,-96.5857007111
-18478.0537502,-9134.39063081,-8488.62475135,16512.7595973,2799.95590543,-3540.32800301,10453.975622,-10099.4751458,2183.8714994,1447.16116473,-1776.49845711,916.44505606,advice_god,-1560.75410073,-995.081379991,2189.59560557,-515.514140044,-597.623384994
-14216.5943164,-1462.44409824,-4787.94666643,-4452.90997049,10238.2467261,3463.97484828,3775.68387276,6173.83637217,-2459.70525458,7901.51795523,336.412161267,-4227.09856654,college_liberal,4140.07435399,67.8570151691,1541.36360228,499.475822562,-1245.52668034
31052.8140787,-3940.61160362,-1745.18662729,2301.57186547,9324.79643182,925.05882908,1671.73759715,-5033.35963623,-2904.08676061,-5837.66358195,-2095.63563148,-3605.77074143,bad_joke_eel,8223.97035565,-2622.07117655,-4282.35547716,-2190.49312961,1783.69627866
16746.0073956,-18333.0545656,9838.32638658,-12432.6656761,-6261.21992694,-861.507047894,15973.1996347,-741.267180455,2991.65754373,-5429.18740389,3836.54328995,-1691.51197731,sudden_clarity_clarence,63.583861476,-545.870796097,4282.04297962,2551.04779454,-2605.12498008
-6195.99406845,-8193.56508747,-1599.26376294,-8340.78147193,203.242030059,-2714.74719993,2727.25509509,2095.12607379,-141.578092423,5119.37304729,-782.485008078,2842.84536872,overly_attached_girlfriend,1935.74001358,3179.53478499,5476.15251707,-4445.13329319,4283.6631471
-11922.8735425,-6461.17263858,-1832.89893002,-3014.48626521,-1297.53094906,-1667.96125909,-18.702218827,2177.92441641,538.455092348,3609.42131475,-976.184428291,-348.587363692,overly_attached_girlfriend,2305.49289841,4127.65299914,4585.3343485,-1498.39262008,5981.17847031
25487.5167849,-5398.15520408,-3266.48031636,5275.71026843,10987.8073281,6994.79523734,-5226.09676266,4753.17373496,-5289.51111423,-2786.74608613,2756.80473718,7301.65157718,unpopular_opinion_puffin,-8406.95270755,859.830971974,1572.99525184,5192.7860574,-2841.24721708
-4116.48628276,11249.7509019,-2802.52785959,240.42597514,-3022.37078233,1446.48273127,-4716.45210938,-1733.5509297,2648.48790401,-2698.07850557,-6686.04706182,-6656.78703629,confession_bear,-1069.37874577,-1726.32846439,4487.99585304,6857.39583545,-1561.43198135
20446.1270997,-18655.6151869,10188.9393631,-13111.1544645,-8677.77485159,1648.54775257,15817.6407974,-809.921419603,3372.81672708,-6913.93256351,4081.40337534,889.560570427,sudden_clarity_clarence,-1112.84360494,-608.244382071,6135.02124774,3434.03248621,-4454.01293679
-4908.86133987,8055.80019565,28200.4607749,13105.2901804,2351.48297705,-642.104380833,-632.150394082,5446.0972348,2319.98788601,-2124.01387831,1603.07764203,-2486.47021282,socially_awkward_penguin,1054.93526207,-1943.06855471,2228.2412885,-2137.97167105,452.071019658
7892.7628171,20540.6559292,2990.37568291,2161.73283039,-7594.52821089,595.377810727,2767.07383363,-7466.56928533,-7881.12606032,4121.00826442,6461.88928948,-1722.82635629,high_expectations_asian_father,-5312.45757607,9397.95511137,-997.099440501,1887.92353792,-3444.38156595
530.673242707,11979.2499535,-5541.50245039,-3826.59163865,-4186.29664262,1559.14974909,975.095080699,-508.796835323,-606.26926491,-1983.50892189,-1868.91501737,8560.5279652,good_guy_greg,7264.6408255,-800.335786538,5880.59638856,-8358.12447431,-7080.48342802
-18193.7847624,-11251.6812478,147.85495174,-1121.38335948,6.55742643456,2903.07206956,-2415.12384241,4421.1957517,-2884.14019279,-1347.36851916,1914.03974659,273.438182713,minor_mistake_marvin,-2335.09827274,-1789.00966832,-5165.96211948,2536.52192032,-2670.53075106
7442.28439058,18485.554857,3228.97663976,723.832603309,-6864.03894882,340.059104321,5086.51294137,-6482.09633591,-8605.71816841,3925.24176081,5715.98148282,-4130.62140903,high_expectations_asian_father,-4034.04197949,8194.93200329,-409.845551643,-877.425544495,-2380.67242171
22704.674412,-19379.2197735,10454.5687298,-13412.2808103,-5935.03191872,-942.37431794,17133.7818583,-1619.68847188,6020.29195006,-5037.22536841,5488.18909387,-1694.07927057,sudden_clarity_clarence,-482.433288947,568.332043646,4542.60330225,3696.40288968,-2147.55485065
